Edificio1;Mes;A�o;EnergiaActivaHoraPunta;EnergiaActivaFueraPunta;EnergiaReactiva;FactorCarga;totalEnergiaActiva;TotalFacturado;Tarifa
ELECTRO ORIENTE S.A.;ene;2023;68383,7777;384488,9223;192922,9623;0,68;452872,7;255234,26;MT3
ELECTRO ORIENTE S.A.;feb;2023;68520,2153;385256,0447;193307,8773;0,68;453776,26;247304,41;MT3
ELECTRO ORIENTE S.A.;mar;2023;70610,5807;397009,1593;199205,1751;0,68;467619,74;229125,89;MT3
ELECTRO ORIENTE S.A.;abr;2023;70747,7582;397780,4418;199592,1774;0,68;468528,2;247816,85;MT3
ELECTRO ORIENTE S.A.;may;2023;73020,435;410558,605;206003,8084;0,68;483579,04;232695,23;MT3
ELECTRO ORIENTE S.A.;jun;2023;67786,9744;381133,3856;191239,2725;0,68;448920,36;232683,29;MT3
ELECTRO ORIENTE S.A.;jul;2023;69728,324;392048,656;196716,1697;0,68;461776,98;222042,53;MT3
ELECTRO ORIENTE S.A.;ago;2023;48664,5548;273617,2652;137291,4804;0,68;322281,82;152549,8;MT3
ELECTRO ORIENTE S.A.;set;2023;82629,6643;464586,6557;233113,1762;0,68;547216,32;318554,72;MT3
ELECTRO ORIENTE S.A.;oct;2023;79074,4448;444597,3752;223083,2612;0,68;523671,82;252190,59;MT3
ELECTRO ORIENTE S.A.;nov;2023;73028,8699;410606,0301;206027,6047;0,68;483634,9;228066,62;MT3
ELECTRO ORIENTE S.A.;dic;2023;71922,4234;404385,0166;202906,1198;0,68;476307,44;240959,06;MT3
ELECTRO ORIENTE S.A.;ene;2024;69779,365;392335,635;196860,1656;0,68;462115,0;237942,98;MT3
ELECTRO ORIENTE S.A.;feb;2024;69918,587;393118,413;197252,936;0,68;463037,0;210889,57;MT3
ELECTRO ORIENTE S.A.;mar;2024;72051,613;405111,387;203270,5868;0,68;477163,0;236704,52;MT3
ELECTRO ORIENTE S.A.;abr;2024;72191,59;405898,41;203665,4872;0,68;478090,0;204275,56;MT3
ELECTRO ORIENTE S.A.;may;2024;74510,648;418937,352;210207,9678;0,68;493448,0;202278,4;MT3
ELECTRO ORIENTE S.A.;jun;2024;69170,382;388911,618;195142,1148;0,68;458082,0;220641,03;MT3
ELECTRO ORIENTE S.A.;jul;2024;71151,351;400049,649;200730,7854;0,68;471201,0;212750,83;MT3
ELECTRO ORIENTE S.A.;ago;2024;49657,709;279201,291;140093,3474;0,68;328859,0;144359,53;MT3
ELECTRO ORIENTE S.A.;set;2024;84315,984;474068,016;237870,5879;0,68;558384,0;246564,54;MT3
ELECTRO ORIENTE S.A.;oct;2024;80688,209;453670,791;227635,9808;0,68;534359,0;235203,16;MT3
ELECTRO ORIENTE S.A.;nov;2024;74519,255;418985,745;210232,2497;0,68;493505,0;213595,79;MT3
ELECTRO ORIENTE S.A.;dic;2024;73390,228;412637,772;207047,061;0,68;486028,0;214074,48;MT3
ELECTRO ORIENTE S.A.;ene;2025;75155,569;422563,431;212027,4061;0,68;497719,0;228362,88;MT3
ELECTRO ORIENTE S.A.;feb;2025;61380,141;345110,859;173164,4409;0,68;406491,0;179828,18;MT3
ELECTRO ORIENTE S.A.;mar;2025;70595,52;396924,48;199162,686;0,68;467520,0;217861,08;MT3
ELECTRO ORIENTE S.A.;abr;2025;75131,862;422430,138;211960,5244;0,68;497562,0;217753,78;MT3
ELECTRO ORIENTE S.A.;may;2025;70140,557;394366,443;197879,1534;0,68;464507,0;214514,27;MT3
ELECTRO ORIENTE S.A.;jun;2025;98921,912;556190,088;279076,5434;0,68;655112,0;392819,76;MT3
ELECTRO ORIENTE S.A.;jul;2025;66558,837;374228,163;187774,4757;0,68;440787,0;302209,1;MT3
ELECTRO ORIENTE S.A.;ago;2025;72142,213;405620,787;203526,1857;0,68;477763,0;340358,9;MT3
ELECTRO ORIENTE S.A.;set;2025;73874,032;415357,968;208411,9593;0,68;489232,0;333802,48;MT3
ELECTRO ORIENTE S.A.;oct;2025;78400,257;440806,743;221181,2558;0,68;519207,0;369757,47;MT3
ELECTRO ORIENTE S.A.;nov;2025;77064,1939;433294,7061;217411,981;0,68;510358,9;368310,02;MT3
ELECTRO ORIENTE S.A.;dic;2025;75896,609;426729,9409;214118,0137;0,68;502626,55;392487,17;MT3
