Edificio3 ;Mes;Año;EnergiaActivaHoraPunta;EnergiaActivaFueraPunta;EnergiaReactiva;FactorCarga;totalEnergiaActiva;TotalFacturado;Tarifa
AEROPUERTO INTERNACIONAL    ;ene;2023;20009,0709;69263,5671;41568,1403;0,655715;89272,64;49441,5;MT4  
AEROPUERTO INTERNACIONAL    ;feb;2023;18295,4363;64159,0268;39340,8698;0,557399;82454,47;46229,5;MT4  
AEROPUERTO INTERNACIONAL    ;mar;2023;16868,165;56268,1256;32799,9672;0,547725;73136,3;41622;MT4  
AEROPUERTO INTERNACIONAL    ;abr;2023;18695,4359;61909,029;40645,4139;0,527391;80604,47;45465,5;MT4  
AEROPUERTO INTERNACIONAL    ;may;2023;15563,5753;62463,5739;38763,5976;0,574497;78027,15;43476,5;MT4  
AEROPUERTO INTERNACIONAL    ;jun;2023;17509,1189;62013,5744;40522,6868;0,571732;79522,69;41325;MT4  
AEROPUERTO INTERNACIONAL    ;jul;2023;15704,5298;58277,2145;36622,6907;0,581119;73981,74;38126,5;MT4  
AEROPUERTO INTERNACIONAL    ;ago;2023;13527,2592;53154,4923;40199,9598;0,513224;66681,75;35034,5;MT4  
AEROPUERTO INTERNACIONAL    ;set;2023;9836,3538;41677,1856;19627,2531;0,509393;51513,54;25978;MT4  
AEROPUERTO INTERNACIONAL    ;oct;2023;10168,1717;41536,3676;5195,4494;0,493707;51704,54;26372,5;MT4  
AEROPUERTO INTERNACIONAL    ;nov;2023;10481,8077;45563,5908;23227,2495;0,509672;56045,4;28729,5;MT4  
AEROPUERTO INTERNACIONAL    ;dic;2023;9118,1727;39477,2333;28872,6984;0,472885;48595,4;52884;MT4  
AEROPUERTO INTERNACIONAL    ;ene;2024;6368,1755;28527,2442;18131,8001;0,406965;34895,42;18400,5;MT4  
AEROPUERTO INTERNACIONAL    ;feb;2024;9818,172;38477,2343;22977,2498;0,595037;48295,4;20384;MT4  
AEROPUERTO INTERNACIONAL    ;mar;2024;8177,2646;32836,3308;18354,5271;0,507366;41013,59;18130,5;MT4  
AEROPUERTO INTERNACIONAL    ;abr;2024;7586,3561;34445,4201;18681,7995;0,532907;42031,78;18162;MT4  
AEROPUERTO INTERNACIONAL    ;may;2024;9131,8091;36999,963;20749,9793;0,559358;46131,77;18677;MT4  
AEROPUERTO INTERNACIONAL    ;jun;2024;10959,08;43336,3203;24472,7028;0,525008;54295,4;24973;MT4  
AEROPUERTO INTERNACIONAL    ;jul;2024;9759,0812;43799,9562;27795,4268;0,543697;53559,04;24288;MT4  
AEROPUERTO INTERNACIONAL    ;ago;2024;9295,4453;36613,5998;21177,2516;0,572562;45909,05;21376;MT4  
AEROPUERTO INTERNACIONAL    ;set;2024;10199,9898;41754,5037;22927,2498;0,581501;51954,49;23644;MT4  
AEROPUERTO INTERNACIONAL    ;oct;2024;9809,0811;40118,1417;25822,7015;0,493707;49927,22;23227,5;MT4  
AEROPUERTO INTERNACIONAL    ;nov;2024;10836,3528;48545,406;27272,7;0,546519;59381,76;26072,5;MT4  
AEROPUERTO INTERNACIONAL    ;dic;2024;23304,5222;90859,0001;45136,3185;0,634242;114163,52;45595,5;MT4  
AEROPUERTO INTERNACIONAL    ;ene;2025;23040,8861;92890,8162;43727,229;0,647598;115931,71;48228,5;MT4  
AEROPUERTO INTERNACIONAL    ;feb;2025;24136,3395;92781,7254;43431,7748;0,627855;116918,07;48803,5;MT4  
AEROPUERTO INTERNACIONAL    ;mar;2025;22886,3408;85490,8236;40159,0508;0,583015;108377,16;47224;MT4  
AEROPUERTO INTERNACIONAL    ;abr;2025;24831,7934;93290,8158;43154,5023;0,669629;118122,61;49119;MT4  
AEROPUERTO INTERNACIONAL    ;may;2025;24109,0668;97681,7205;42668,1392;0,619199;121790,79;50006,5;MT4  
AEROPUERTO INTERNACIONAL    ;jun;2025;25904,5196;96340,8128;44804,5007;0,618423;122245,33;53216;MT4  
AEROPUERTO INTERNACIONAL    ;jul;2025;23972,7033;90713,5457;40840,8683;0,611571;114686,25;56667,5;MT4  
AEROPUERTO INTERNACIONAL    ;ago;2025;22481,7957;87854,4576;41268,1406;0,60311;110336,26;55157;MT4  
AEROPUERTO INTERNACIONAL    ;set;2025;24046,07987;92021,98591;42332,42524;0,618971714;116068,0671;12046,5;MT4  
AEROPUERTO INTERNACIONAL    ;oct;2025;24033,18564;91913,4517;42175,37531;0,617702673;115946,6382;5904;MT4  
AEROPUERTO INTERNACIONAL    ;nov;2025;24197,02062;92830,97;42463,42166;0,622658055;117027,9922;5928,5;MT4  
AEROPUERTO INTERNACIONAL    ;dic;2025;24648,5663;93192,5887;40593,1866;0,57945;117841,16;55879;MT4  
AEROPUERTO INTERNACIONAL    ;ene;2026;25796,8378;105302,6674;32984,0125;0,594335;131099,51;62164;MT4  
