Edificio4 ;Mes;Año;EnergiaActivaHoraPunta;EnergiaActivaFueraPunta;EnergiaReactiva;FactorCarga;totalEnergiaActiva;TotalFacturado;Tarifa;;
HIPERMERCADOS TOTTUS ORIENTE SAC ;ene;2023;23090,886;93727,179;30145,4244;0,586308;130672,6;61248,5;MT3  ;;
HIPERMERCADOS TOTTUS ORIENTE SAC ;feb;2023;22181,796;91254,4542;27836,3358;0,516713;117872,61;55835,5;MT3  ;;
HIPERMERCADOS TOTTUS ORIENTE SAC ;mar;2023;18927,2538;79436,2842;24309,0666;0,48383;107090,8;52114;MT3  ;;
HIPERMERCADOS TOTTUS ORIENTE SAC ;abr;2023;21799,9782;91890,8172;27672,6996;0,612462;117927,15;56197,5;MT3  ;;
HIPERMERCADOS TOTTUS ORIENTE SAC ;may;2023;18345,4362;89781,7284;26181,792;0,548454;108999,89;57469,5;MT3  ;;
HIPERMERCADOS TOTTUS ORIENTE SAC ;jun;2023;20999,979;92563,5438;27618,1542;0,585357;116818,07;65016;MT3  ;;
HIPERMERCADOS TOTTUS ORIENTE SAC ;jul;2023;19399,9806;87436,2762;25163,6112;0,553671;113436,25;63331,5;MT3  ;;
HIPERMERCADOS TOTTUS ORIENTE SAC ;ago;2023;20163,6162;98327,1744;27799,9722;0,630319;98363,53;56325;MT3  ;;
HIPERMERCADOS TOTTUS ORIENTE SAC ;set;2023;21290,8878;96254,4492;28999,971;0,519027;113690,8;61727;MT3  ;;
HIPERMERCADOS TOTTUS ORIENTE SAC ;oct;2023;22054,5234;102799,8972;29090,88;0,57803;108127,17;59799,5;MT3  ;;
HIPERMERCADOS TOTTUS ORIENTE SAC ;nov;2023;23036,3406;104763,5316;28818,153;0,599662;113563,52;57805;MT3  ;;
HIPERMERCADOS TOTTUS ORIENTE SAC ;dic;2023;22636,341;97908,993;27472,6998;0,550079;106836,26;54464;MT3  ;;
HIPERMERCADOS TOTTUS ORIENTE SAC ;ene;2024;22036,3416;99181,719;26690,8824;0,574424;118490,79;57357,5;MT3  ;;
HIPERMERCADOS TOTTUS ORIENTE SAC ;feb;2024;19745,4348;90981,7272;25399,9746;0,498135;117545,34;112509;MT3  ;;
HIPERMERCADOS TOTTUS ORIENTE SAC ;mar;2024;19818,162;90781,7274;25618,1562;0,505602;124854,42;59163;MT3  ;;
HIPERMERCADOS TOTTUS ORIENTE SAC ;abr;2024;18854,5266;98836,2648;27836,3358;0,530399;127799,87;60632,5;MT3  ;;
HIPERMERCADOS TOTTUS ORIENTE SAC ;may;2024;20872,7064;94908,996;27527,2452;0,520567;120545,33;53865,5;MT3  ;;
