Edificio 14;Mes;Año;EnergiaActivaHoraPunta;EnergiaActivaFueraPunta;EnergiaReactiva;FactorCarga;totalEnergiaActiva;TotalFacturado;Tarifa
AUTORIDAD PORTUARIA NACIONAL;ene;2023;544,5;3183;63;0,278787;3727,5;6857;BT3  
AUTORIDAD PORTUARIA NACIONAL;feb;2023;625,5;3084;94,5;0,341423;3709,5;3292;BT3  
AUTORIDAD PORTUARIA NACIONAL;mar;2023;513;2553;36;0,33676;3066;2970,5;BT3  
AUTORIDAD PORTUARIA NACIONAL;abr;2023;679,5;3213;58,5;0,370037;3892,5;6322;BT3  
AUTORIDAD PORTUARIA NACIONAL;may;2023;459;2613;36;0,303569;3072;2989;BT3  
AUTORIDAD PORTUARIA NACIONAL;jun;2023;622,5;3124,5;24;0,411071;3747;6012;BT3  
AUTORIDAD PORTUARIA NACIONAL;jul;2023;619,5;2788,5;28,5;0,365226;3408;5752;BT3  
AUTORIDAD PORTUARIA NACIONAL;ago;2023;681;3624;34,5;0,514336;4305;5705;BT3  
AUTORIDAD PORTUARIA NACIONAL;set;2023;336;1722;18;0,145019;2058;2360,5;BT3  
AUTORIDAD PORTUARIA NACIONAL;oct;2023;717;3576;18;0,362351;4293;3214,5;BT3  
AUTORIDAD PORTUARIA NACIONAL;nov;2023;720;3816;4,5;0,350291;4536;3427;BT3  
AUTORIDAD PORTUARIA NACIONAL;dic;2023;739,5;3457,5;3;0,408634;4197;3176,5;BT3  
AUTORIDAD PORTUARIA NACIONAL;ene;2024;643,5;3238,5;43,5;0,301294;3882;3452;BT3  
AUTORIDAD PORTUARIA NACIONAL;feb;2024;709,5;3123;21;0,425492;3832,5;3075;BT3  
AUTORIDAD PORTUARIA NACIONAL;mar;2024;703,5;2839,5;1,5;0,409046;3543;2784,5;BT3  
AUTORIDAD PORTUARIA NACIONAL;abr;2024;720;3328,5;4,5;0,334697;4048,5;2995,5;BT3  
AUTORIDAD PORTUARIA NACIONAL;may;2024;879;3498;3;0,405277;4377;2980;BT3  
AUTORIDAD PORTUARIA NACIONAL;jun;2024;939;3606;7,5;0,462962;4545;3344,5;BT3  
AUTORIDAD PORTUARIA NACIONAL;jul;2024;756;2770,5;4,5;0,395312;3526,5;2813;BT3  
AUTORIDAD PORTUARIA NACIONAL;ago;2024;672;3255;13,5;0,457372;3927;2888,5;BT3  
AUTORIDAD PORTUARIA NACIONAL;set;2024;729;3741;33;0,398353;4470;3172,5;BT3  
AUTORIDAD PORTUARIA NACIONAL;oct;2024;682,5;3787,5;40,5;0,384297;4470;3132;BT3  
AUTORIDAD PORTUARIA NACIONAL;nov;2024;799,5;4072,5;75;0,392953;4872;3309,5;BT3  
AUTORIDAD PORTUARIA NACIONAL;dic;2024;790,5;3783;22,5;0,348536;4573,5;3298;BT3  
AUTORIDAD PORTUARIA NACIONAL;ene;2025;586,5;2913;40,5;0,305686;3499,5;2907,5;BT3  
AUTORIDAD PORTUARIA NACIONAL;feb;2025;667,5;2779,5;27;0,340262;3447;2859,5;BT3  
AUTORIDAD PORTUARIA NACIONAL;mar;2025;645;2433;6;0,297805;3078;5644;BT3  
AUTORIDAD PORTUARIA NACIONAL;abr;2025;672;2517;1,5;0,33746;3189;2779;BT3  
AUTORIDAD PORTUARIA NACIONAL;may;2025;706,5;2634;0;0,323203;3340,5;2759;BT3  
AUTORIDAD PORTUARIA NACIONAL;jun;2025;759;2521,5;1,5;0,386942;3280,5;2616;BT3  
AUTORIDAD PORTUARIA NACIONAL;jul;2025;753;2328;0;0,342881;3081;2692;BT3  
AUTORIDAD PORTUARIA NACIONAL;ago;2025;661,5;2352;37,5;0,399181;3013,5;2661,5;BT3  
AUTORIDAD PORTUARIA NACIONAL;set;2025;781,5;2719,5;49,5;0,32711;3501;2894,5;BT3  
AUTORIDAD PORTUARIA NACIONAL;oct;2025;847,5;2748;42;0,33192;3595,5;2852;BT3  
AUTORIDAD PORTUARIA NACIONAL;nov;2025;832,5;2737,5;54;0,357744;3570;2854;BT3  
AUTORIDAD PORTUARIA NACIONAL;dic;2025;774;2565;43,5;0,358246;3339;2726,5;BT3  
AUTORIDAD PORTUARIA NACIONAL;ene;2026;1033,5;3036;49,5;0,363361;4069,5;3155;BT3  
