Edificio15;Mes;Año;EnergiaActivaHoraPunta;EnergiaActivaFueraPunta;EnergiaReactiva;FactorCarga;totalEnergiaActiva;TotalFacturado;Tarifa
DREL- COLEGIO NACIONAL DE IQUITOS;ene;2023;2625,4519;8094,5374;8347,2644;0,162156;10719,99;8696;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;feb;2023;2354,5431;5376,3583;7321,8109;0,371418;7730,9;14791,5;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;mar;2023;2125,4524;4701,8135;6374,5391;0,330081;6827,26;5733,5;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;abr;2023;3607,2691;10839,9892;8709,0822;0,269173;14447,26;9530,5;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;may;2023;3538,1783;11881,8063;9523,6268;0,263516;15419,99;10162,5;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;jun;2023;3830,8871;11167,2616;9216,3544;0,274746;14998,15;9536,5;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;jul;2023;3907,2688;12352,7149;10014,5354;0,274797;16259,98;9726,5;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;ago;2023;3267,2876;10370,8987;9527,2632;0,213923;13638,19;8725,5;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;set;2023;3898,1779;11903,6245;10418,1714;0,310304;15801,8;8794;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;oct;2023;3789,0871;13098,1687;11010,8981;0,273305;16887,26;9660,5;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;nov;2023;3425,4511;11239,9888;10049,0809;0,233878;14665,44;8930;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;dic;2023;3892,7234;14399,9856;11623,6247;0,285758;18292,71;9828,5;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;ene;2024;2619,9974;9678,1721;9341,8088;0,236636;12298,17;17616;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;feb;2024;2227,2705;5365,4492;7123,6292;0,300517;7592,72;5132;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;mar;2024;2170,9069;5387,2673;6881,8113;0,317231;7558,18;4942;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;abr;2024;2667,2701;10347,2624;8554,5369;0,254262;13014,53;7014;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;may;2024;4243,6321;14249,0767;10049,0809;0,333957;18492,71;15543,5;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;jun;2024;3427,2693;10976,3527;9218,1726;0,250632;14403,62;8180;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;jul;2024;3132,7241;11221,807;9574,5359;0,244215;14354,53;8061,5;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;ago;2024;3690,9054;12301,8059;9701,8085;0,290872;15992,72;8592,5;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;set;2024;3778,178;13932,7133;10129,0808;0,326791;17710,89;9201;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;oct;2024;3850,9052;12963,6234;9339,9907;0,273868;16814,53;18137,5;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;nov;2024;4227,2685;14836,3488;10723,6256;0,313846;19063,62;18623;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;dic;2024;3967,2688;14036,3496;10054,5354;0,271258;18003,62;19308;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;ene;2025;2749,0882;8818,173;7530,9016;0,236259;11567,26;7051,5;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;feb;2025;2389,0885;6027,2667;6876,3568;0,392021;8416,36;5328;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;mar;2025;2265,4523;5414,54;6029,0849;0,355555;7679,99;5158,5;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;abr;2025;2923,6334;10759,9892;8183,6282;0,282507;13683,62;7647;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;may;2025;3470,9056;13519,9865;8665,4459;0,325292;16990,9;8515,5;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;jun;2025;3409,0875;11978,1698;8750,9003;0,27021;15387,26;8392,5;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;jul;2025;3509,0874;12367,2604;8169,0827;0,253719;15876,35;9660,5;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;ago;2025;3219,9968;10332,7169;7289,0836;0,27316;13552,72;8391;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;set;2025;4085,4505;13174,5323;8759,9912;0,261083;17259,98;10288,5;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;oct;2025;4763,6316;15638,1662;9703,6267;0,333006;20401,8;11251,5;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;nov;2025;4438,1774;14132,7131;8861,8093;0,301832;18570,89;10418,5;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;dic;2025;4250,9048;13698,1681;9376,3543;0,262162;17949,07;10459;MT4  
DREL- COLEGIO NACIONAL DE IQUITOS;ene;2026;3709,0872;12203,6242;8663,6277;0,245566;15912,71;20129;MT4  
