day_type,hour,wm_start_time_step,wm_end_time_step,load_profile
7,1,0,21,"[38.000000, 33.250000, 23.750000]"
7,2,0,21,"[38.000000, 33.250000, 23.750000]"
7,3,0,21,"[38.000000, 33.250000, 23.750000]"
7,4,0,21,"[38.000000, 33.250000, 23.750000]"
7,5,0,21,"[38.000000, 33.250000, 23.750000]"
7,6,0,21,"[38.000000, 33.250000, 23.750000]"
7,7,0,21,"[38.000000, 33.250000, 23.750000]"
7,8,0,21,"[38.000000, 33.250000, 23.750000]"
7,9,0,21,"[38.000000, 33.250000, 23.750000]"
7,10,0,21,"[38.000000, 33.250000, 23.750000]"
7,11,0,21,"[38.000000, 33.250000, 23.750000]"
7,12,0,21,"[38.000000, 33.250000, 23.750000]"
7,13,0,21,"[38.000000, 33.250000, 23.750000]"
7,14,0,21,"[38.000000, 33.250000, 23.750000]"
7,15,0,21,"[38.000000, 33.250000, 23.750000]"
7,16,0,21,"[38.000000, 33.250000, 23.750000]"
7,17,0,21,"[38.000000, 33.250000, 23.750000]"
7,18,0,21,"[38.000000, 33.250000, 23.750000]"
7,19,0,21,"[38.000000, 33.250000, 23.750000]"
7,20,0,21,"[38.000000, 33.250000, 23.750000]"
7,21,0,21,"[38.000000, 33.250000, 23.750000]"
7,22,0,21,"[38.000000, 33.250000, 23.750000]"
7,23,-1,-1,[]
7,24,-1,-1,[]
1,1,24,45,"[38.000000, 33.250000, 23.750000]"
1,2,24,45,"[38.000000, 33.250000, 23.750000]"
1,3,24,45,"[38.000000, 33.250000, 23.750000]"
1,4,24,45,"[38.000000, 33.250000, 23.750000]"
1,5,24,45,"[38.000000, 33.250000, 23.750000]"
1,6,24,45,"[38.000000, 33.250000, 23.750000]"
1,7,24,45,"[38.000000, 33.250000, 23.750000]"
1,8,24,45,"[38.000000, 33.250000, 23.750000]"
1,9,24,45,"[38.000000, 33.250000, 23.750000]"
1,10,24,45,"[38.000000, 33.250000, 23.750000]"
1,11,24,45,"[38.000000, 33.250000, 23.750000]"
1,12,24,45,"[38.000000, 33.250000, 23.750000]"
1,13,24,45,"[38.000000, 33.250000, 23.750000]"
1,14,24,45,"[38.000000, 33.250000, 23.750000]"
1,15,24,45,"[38.000000, 33.250000, 23.750000]"
1,16,24,45,"[38.000000, 33.250000, 23.750000]"
1,17,24,45,"[38.000000, 33.250000, 23.750000]"
1,18,24,45,"[38.000000, 33.250000, 23.750000]"
1,19,24,45,"[38.000000, 33.250000, 23.750000]"
1,20,24,45,"[38.000000, 33.250000, 23.750000]"
1,21,24,45,"[38.000000, 33.250000, 23.750000]"
1,22,24,45,"[38.000000, 33.250000, 23.750000]"
1,23,-1,-1,[]
1,24,-1,-1,[]
2,1,48,69,"[38.000000, 33.250000, 23.750000]"
2,2,48,69,"[38.000000, 33.250000, 23.750000]"
2,3,48,69,"[38.000000, 33.250000, 23.750000]"
2,4,48,69,"[38.000000, 33.250000, 23.750000]"
2,5,48,69,"[38.000000, 33.250000, 23.750000]"
2,6,48,69,"[38.000000, 33.250000, 23.750000]"
2,7,48,69,"[38.000000, 33.250000, 23.750000]"
2,8,48,69,"[38.000000, 33.250000, 23.750000]"
2,9,48,69,"[38.000000, 33.250000, 23.750000]"
2,10,48,69,"[38.000000, 33.250000, 23.750000]"
2,11,48,69,"[38.000000, 33.250000, 23.750000]"
2,12,48,69,"[38.000000, 33.250000, 23.750000]"
2,13,48,69,"[38.000000, 33.250000, 23.750000]"
2,14,48,69,"[38.000000, 33.250000, 23.750000]"
2,15,48,69,"[38.000000, 33.250000, 23.750000]"
2,16,48,69,"[38.000000, 33.250000, 23.750000]"
2,17,48,69,"[38.000000, 33.250000, 23.750000]"
2,18,48,69,"[38.000000, 33.250000, 23.750000]"
2,19,48,69,"[38.000000, 33.250000, 23.750000]"
2,20,48,69,"[38.000000, 33.250000, 23.750000]"
2,21,48,69,"[38.000000, 33.250000, 23.750000]"
2,22,48,69,"[38.000000, 33.250000, 23.750000]"
2,23,-1,-1,[]
2,24,-1,-1,[]
3,1,72,93,"[38.000000, 33.250000, 23.750000]"
