outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
23.47,97.65,0.0,0.0,23.18,23.01,22.97,98.98,99.64,99.34,0.0,0.0,0.0,0.0,0.0,0.0
23.18,98.98,0.0,0.0,23.01,22.97,23.01,99.64,99.34,97.92,0.0,0.0,0.0,0.0,0.0,0.0
23.01,99.64,0.0,0.0,22.97,23.01,23.12,99.34,97.92,95.44,0.0,0.0,0.0,0.0,0.0,0.0
22.97,99.34,0.0,0.0,23.01,23.12,23.17,97.92,95.44,93.27,0.0,0.0,35.07,0.0,0.0,0.0
23.01,97.92,0.0,0.0,23.12,23.17,23.57,95.44,93.27,94.79,0.0,35.07,92.23,0.0,0.0,0.0
23.12,95.44,0.0,0.0,23.17,23.57,23.98,93.27,94.79,93.06,35.07,92.23,134.18,0.0,0.0,24.51
23.17,93.27,35.07,0.0,23.57,23.98,24.84,94.79,93.06,90.83,92.23,134.18,224.73,0.0,24.51,8.32
23.57,94.79,92.23,0.0,23.98,24.84,26.0,93.06,90.83,82.06,134.18,224.73,261.53,24.51,8.32,14.14
23.98,93.06,134.18,24.51,24.84,26.0,26.37,90.83,82.06,78.5,224.73,261.53,291.07,8.32,14.14,197.49
24.84,90.83,224.73,8.32,26.0,26.37,26.61,82.06,78.5,78.64,261.53,291.07,363.02,14.14,197.49,94.22
26.0,82.06,261.53,14.14,26.37,26.61,26.53,78.5,78.64,80.12,291.07,363.02,192.77,197.49,94.22,373.88
26.37,78.5,291.07,197.49,26.61,26.53,26.19,78.64,80.12,83.98,363.02,192.77,193.91,94.22,373.88,504.07
26.61,78.64,363.02,94.22,26.53,26.19,25.79,80.12,83.98,89.49,192.77,193.91,185.91,373.88,504.07,437.58
26.53,80.12,192.77,373.88,26.19,25.79,25.36,83.98,89.49,94.74,193.91,185.91,154.94,504.07,437.58,248.71
26.19,83.98,193.91,504.07,25.79,25.36,25.04,89.49,94.74,97.3,185.91,154.94,58.14,437.58,248.71,53.13
25.79,89.49,185.91,437.58,25.36,25.04,24.5,94.74,97.3,95.48,154.94,58.14,0.0,248.71,53.13,0.0
25.36,94.74,154.94,248.71,25.04,24.5,23.91,97.3,95.48,96.34,58.14,0.0,0.0,53.13,0.0,0.0
25.04,97.3,58.14,53.13,24.5,23.91,23.46,95.48,96.34,97.58,0.0,0.0,0.0,0.0,0.0,0.0
24.5,95.48,0.0,0.0,23.91,23.46,23.16,96.34,97.58,98.33,0.0,0.0,0.0,0.0,0.0,0.0
23.91,96.34,0.0,0.0,23.46,23.16,22.96,97.58,98.33,98.78,0.0,0.0,0.0,0.0,0.0,0.0
23.46,97.58,0.0,0.0,23.16,22.96,22.79,98.33,98.78,99.03,0.0,0.0,0.0,0.0,0.0,0.0
23.16,98.33,0.0,0.0,22.96,22.79,22.61,98.78,99.03,99.19,0.0,0.0,0.0,0.0,0.0,0.0
22.96,98.78,0.0,0.0,22.79,22.61,22.41,99.03,99.19,99.36,0.0,0.0,0.0,0.0,0.0,0.0
22.79,99.03,0.0,0.0,22.61,22.41,22.2,99.19,99.36,99.44,0.0,0.0,0.0,0.0,0.0,0.0
22.61,99.19,0.0,0.0,22.41,22.2,21.99,99.36,99.44,99.61,0.0,0.0,0.0,0.0,0.0,0.0
22.41,99.36,0.0,0.0,22.2,21.99,21.77,99.44,99.61,99.81,0.0,0.0,0.0,0.0,0.0,0.0
22.2,99.44,0.0,0.0,21.99,21.77,21.7,99.61,99.81,99.95,0.0,0.0,0.0,0.0,0.0,0.0
21.99,99.61,0.0,0.0,21.77,21.7,22.57,99.81,99.95,99.4,0.0,0.0,55.23,0.0,0.0,27.12
21.77,99.81,0.0,0.0,21.7,22.57,23.85,99.95,99.4,98.61,0.0,55.23,152.68,0.0,27.12,48.66
21.7,99.95,0.0,0.0,22.57,23.85,24.92,99.4,98.61,95.67,55.23,152.68,224.38,27.12,48.66,73.47
22.57,99.4,55.23,27.12,23.85,24.92,26.07,98.61,95.67,88.34,152.68,224.38,383.31,48.66,73.47,32.66
23.85,98.61,152.68,48.66,24.92,26.07,27.48,95.67,88.34,78.41,224.38,383.31,381.88,73.47,32.66,109.06
24.92,95.67,224.38,73.47,26.07,27.48,28.06,88.34,78.41,73.89,383.31,381.88,467.51,32.66,109.06,42.76
26.07,88.34,383.31,32.66,27.48,28.06,28.24,78.41,73.89,72.09,381.88,467.51,427.27,109.06,42.76,75.8
27.48,78.41,381.88,109.06,28.06,28.24,28.2,73.89,72.09,72.24,467.51,427.27,354.66,42.76,75.8,92.4
28.06,73.89,467.51,42.76,28.24,28.2,28.01,72.09,72.24,73.69,427.27,354.66,313.41,75.8,92.4,95.77
28.24,72.09,427.27,75.8,28.2,28.01,27.57,72.24,73.69,76.63,354.66,313.41,186.57,92.4,95.77,232.47
28.2,72.24,354.66,92.4,28.01,27.57,26.91,73.69,76.63,81.75,313.41,186.57,139.78,95.77,232.47,135.67
28.01,73.69,313.41,95.77,27.57,26.91,26.06,76.63,81.75,89.99,186.57,139.78,53.9,232.47,135.67,21.2
27.57,76.63,186.57,232.47,26.91,26.06,25.07,81.75,89.99,95.46,139.78,53.9,0.0,135.67,21.2,0.0
26.91,81.75,139.78,135.67,26.06,25.07,24.39,89.99,95.46,96.71,53.9,0.0,0.0,21.2,0.0,0.0
26.06,89.99,53.9,21.2,25.07,24.39,24.15,95.46,96.71,97.18,0.0,0.0,0.0,0.0,0.0,0.0
25.07,95.46,0.0,0.0,24.39,24.15,24.07,96.71,97.18,97.14,0.0,0.0,0.0,0.0,0.0,0.0
24.39,96.71,0.0,0.0,24.15,24.07,24.02,97.18,97.14,96.81,0.0,0.0,0.0,0.0,0.0,0.0
24.15,97.18,0.0,0.0,24.07,24.02,23.87,97.14,96.81,96.75,0.0,0.0,0.0,0.0,0.0,0.0
24.07,97.14,0.0,0.0,24.02,23.87,23.67,96.81,96.75,96.97,0.0,0.0,0.0,0.0,0.0,0.0
24.02,96.81,0.0,0.0,23.87,23.67,23.42,96.75,96.97,97.68,0.0,0.0,0.0,0.0,0.0,0.0
23.87,96.75,0.0,0.0,23.67,23.42,23.22,96.97,97.68,98.13,0.0,0.0,0.0,0.0,0.0,0.0
23.67,96.97,0.0,0.0,23.42,23.22,23.11,97.68,98.13,98.3,0.0,0.0,0.0,0.0,0.0,0.0
23.42,97.68,0.0,0.0,23.22,23.11,23.02,98.13,98.3,98.44,0.0,0.0,0.0,0.0,0.0,0.0
23.22,98.13,0.0,0.0,23.11,23.02,22.94,98.3,98.44,98.53,0.0,0.0,0.0,0.0,0.0,0.0
23.11,98.3,0.0,0.0,23.02,22.94,23.19,98.44,98.53,97.47,0.0,0.0,41.93,0.0,0.0,12.62
23.02,98.44,0.0,0.0,22.94,23.19,24.02,98.53,97.47,93.42,0.0,41.93,106.98,0.0,12.62,118.21
22.94,98.53,0.0,0.0,23.19,24.02,24.68,97.47,93.42,92.13,41.93,106.98,163.34,12.62,118.21,80.47
23.19,97.47,41.93,12.62,24.02,24.68,25.34,93.42,92.13,90.11,106.98,163.34,273.54,118.21,80.47,82.55
24.02,93.42,106.98,118.21,24.68,25.34,25.99,92.13,90.11,87.2,163.34,273.54,305.56,80.47,82.55,109.72
